handle,match,label,unit,full
TRVCD,TR VCD (.*) cm,TR VC Width,cm,
TRPISA,TR Rad (.*) cm,TR PISAr,cm,
TRALSVEL,TR Als.Vel (.*) cm/s,TR Als.Vel,cm/s,
TRVTI,TR VTI (.*) cm,TR VTI,cm,
TRERO,TR ERO (.*) cm²,TR ERO,cm2,
RVOTVmax,RVOT Vmax (.*) m/s,RVOT Vmax,m/s,
RVOTMaxPG,RVOT maxPG (.*) mmHg,RVOT Max PG,mmHg,
RVOTMeanPG,RVOT meanPG (.*) mmHg,RVOT Mean PG,mmHg,
RVOTVTI,RVOT VTI (.*) cm,RVOT VTI,cm,
PVVmax,PV Vmax (.*) m/s,PV Vmax,m/s,
PVMaxPG,PV maxPG (.*) mmHg,PV Max PG,mmHg,
PVMeanPG,PV meanPG (.*) mmHg,PV Mean PG,mmHg,
PVVTI,PV VTI (.*) cm,PV VTI,cm,
PAT,PV AccT (.*) ms,PV AccT,ms,
PRPHT,PR PHT (.*) ms,PR PHT,ms,
PRDecT,PR DecT (.*) ms,PR DecT,ms,
PRSlope,PR Dec Slope (.*) m/s²,PR Slope,m/s2,
PRVMax,PR Vmax (.*) m/s,PR Vmax,m2,
PRMaxPG,PR maxPG (.*) mmHg,PR MaxPG,mmHg,
PREndVMax,PRend Vmax (.*) m/s,PR End Vmax,m2,
PREndPG,PRend PG (.*) mmHg,PR End PG,mmHg,
PREarlyVmax,PRearly Vmax (.*) m/s,PR Early Vmax,m2,
PREarlyPG,Prearly maxPG (.*) mmHg,PR Early PG,mmHg,
MPA,MPA (.*) cm,MPA Diameter,cm,
RPA,RPA (.*) cm,RPA Diameter,cm,
LPA,LPA (.*) cm,LPA Diameter,cm,
IVC,IVC (.*) mm,IVC Diameter,mm,
IVCExp,IVC Diam Exp (.*) mm,IVC Diameter (Expiration),mm,
EFVisual,,Visual EF,%,
LVPLAX,,LV (PLAX),cm,
LVPSAX,,LV (PSAX),cm,
LVA4C,,LV (A4C),cm,
LVSC,,LV (SC),cm,
RVPLAX,,RV (PLAX),cm,
RVPSAX,,RV (PSAX),cm,
RVA4C,,RV (A4C),cm,
RVSC,,RV (SC),cm,
RAA4C,,RA (A4C),cm,
RASC,,RA (SC),cm,
EffMVVmax,,MV Vmax,cm/s,
EffMVVmin,,MV Vmin,cm/s,
EffMVVar,,MV Variation,%,
EffTVVmax,,TV Vmax,cm/s,
EffTVVmin,,TV Vmin,cm/s,
EffTVVar,,TV Variation,%,
,,,,
LVEDV3D,\\bEDV (.*) ml/m²,LVEDV (3D),ml,
LVEDVInd3D,\\bEDVI (.*) ml/m²,LVEDV Indexed (3D),ml/m2,
LVESV3D,\\bESV (.*) ml/m²,LVESV (3D),ml,
LVESVInd3D,\\bESVI (.*) ml/m²,LVESV Indexed (3D),ml/m2,
EF3D,\\bEF (.*) %,3D EF,%,
HR3D,\\bHR (.*) BPM,HR (3D),bpm,
LVSV3D,\\bSV (.*) ml,SV (3D),ml,
LVCO3D,\\bCO (.*) l/min,CO (3D),l/min,
